number of nodes,number of edges,depth,width,diameter
8,7,4,3,5
10,9,5,3,6
3,2,1,2,2
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
16,15,3,9,5
1,0,1,1,-1
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
1,0,1,1,-1
8,7,4,3,5
19,18,7,4,10
19,18,7,4,10
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
10,9,5,3,6
6,5,3,3,4
1,0,1,1,-1
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
8,7,3,3,5
8,7,3,3,5
1,0,1,1,-1
1,0,1,1,-1
6,5,3,3,4
6,5,3,3,4
6,5,3,3,4
6,5,3,3,4
1,0,1,1,-1
1,0,1,1,-1
16,15,5,4,8
16,15,5,4,8
10,9,4,3,6
10,9,4,3,6
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
15,14,5,5,9
39,38,14,5,16
15,14,5,5,9
3,2,1,2,2
8,7,4,3,5
10,9,4,4,5
10,9,4,3,6
8,7,3,4,5
8,7,3,4,5
10,9,4,3,6
8,7,3,4,5
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
13,12,6,3,7
3,2,1,2,2
8,7,4,3,5
56,55,21,5,26
8,7,4,3,5
27,26,13,3,14
18,17,8,3,9
3,2,1,2,2
16,15,7,3,8
3,2,1,2,2
6,5,3,3,4
1,0,1,1,-1
96,95,33,7,35
96,95,33,7,35
1,0,1,1,-1
3,2,1,2,2
4,3,2,2,3
8,7,4,3,5
6,5,3,3,4
8,7,4,3,5
1,0,1,1,-1
13,12,4,5,8
10,9,4,3,6
17,16,6,5,10
15,14,5,5,9
35,34,14,4,16
3,2,1,2,2
18,17,7,5,9
3,2,1,2,2
70,69,23,6,24
3,2,1,2,2
1,0,1,1,-1
6,5,3,3,4
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
6,5,3,3,4
3,2,1,2,2
1,0,1,1,-1
10,9,4,3,6
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
119,118,39,6,41
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
17,16,8,4,10
6,5,3,3,4
22,21,8,5,11
8,7,3,4,5
21,20,9,4,11
6,5,3,3,4
10,9,4,3,6
8,7,3,3,5
10,9,4,3,6
10,9,4,3,6
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
16,15,7,3,8
1,0,1,1,-1
3,2,1,2,2
3,2,1,2,2
1,0,1,1,-1
3,2,1,2,2
33,32,16,3,17
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
8,7,4,3,5
3,2,1,2,2
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
12,11,5,4,7
6,5,2,3,4
24,23,12,3,13
1,0,1,1,-1
1,0,1,1,-1
9,8,4,3,5
1,0,1,1,-1
17,16,8,3,9
1,0,1,1,-1
9,8,3,3,5
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
6,5,2,3,4
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
5,4,2,3,3
1,0,1,1,-1
5,4,2,3,3
6,5,2,3,4
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
6,5,3,3,4
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
6,5,2,3,4
8,7,3,3,4
3,2,1,2,2
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
3,2,1,2,2
58,57,25,5,27
9,8,4,3,5
3,2,1,2,2
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
6,5,3,3,4
8,7,4,3,5
8,7,4,3,5
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
47,46,15,6,19
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
11,10,4,4,7
17,16,7,4,9
1,0,1,1,-1
1,0,1,1,-1
19,18,8,5,10
1,0,1,1,-1
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
6,5,3,3,4
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
6,5,3,3,4
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
8,7,3,3,5
3,2,1,2,2
1,0,1,1,-1
8,7,4,3,5
3,2,1,2,2
20,19,9,5,11
6,5,3,3,4
1,0,1,1,-1
6,5,3,3,4
20,19,10,3,11
49,48,18,6,19
3,2,1,2,2
3,2,1,2,2
36,35,17,3,18
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
12,11,6,3,7
1,0,1,1,-1
1,0,1,1,-1
5,4,2,3,3
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
8,7,4,3,5
1,0,1,1,-1
6,5,3,3,4
50,49,19,5,20
44,43,18,5,19
3,2,1,2,2
1,0,1,1,-1
3,2,1,2,2
3,2,1,2,2
6,5,2,3,4
11,10,4,5,6
3,2,1,2,2
6,5,2,3,4
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
6,5,3,3,4
14,13,6,3,7
6,5,3,3,4
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
6,5,2,3,4
6,5,3,3,4
1,0,1,1,-1
3,2,1,2,2
10,9,4,3,6
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
8,7,4,3,5
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
6,5,3,3,4
1,0,1,1,-1
3,2,1,2,2
6,5,3,3,4
1,0,1,1,-1
3,2,1,2,2
6,5,3,3,4
6,5,3,3,4
6,5,3,3,4
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
3,2,1,2,2
3,2,1,2,2
72,71,27,5,28
51,50,23,5,24
3,2,1,2,2
6,5,3,3,4
3,2,1,2,2
1,0,1,1,-1
62,61,30,3,31
58,57,28,3,29
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
4,3,2,2,3
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
3,2,1,2,2
24,23,12,3,13
24,23,12,3,13
16,15,8,3,9
6,5,2,3,4
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
3,2,1,2,2
14,13,6,5,9
3,2,1,2,2
6,5,3,3,4
1,0,1,1,-1
1,0,1,1,-1
10,9,5,3,6
10,9,5,3,6
10,9,5,3,6
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
3,2,1,2,2
31,30,15,4,16
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
3,2,1,2,2
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
3,2,1,2,2
18,17,5,5,8
1,0,1,1,-1
3,2,1,2,2
128,127,34,8,35
1,0,1,1,-1
1,0,1,1,-1
30,29,14,5,15
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
27,26,11,4,15
3,2,1,2,2
1,0,1,1,-1
3,2,1,2,2
3,2,1,2,2
9,8,3,4,5
9,8,3,4,5
1,0,1,1,-1
1,0,1,1,-1
8,7,4,3,5
8,7,4,3,5
1,0,1,1,-1
3,2,1,2,2
6,5,3,3,4
10,9,4,3,5
1,0,1,1,-1
1,0,1,1,-1
6,5,3,3,4
6,5,3,3,4
23,22,9,6,11
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
10,9,5,3,6
10,9,5,3,6
10,9,5,3,6
10,9,5,3,6
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
17,16,8,4,9
10,9,5,3,6
12,11,6,3,7
12,11,6,3,7
8,7,4,3,5
8,7,4,3,5
6,5,3,3,4
6,5,3,3,4
6,5,3,3,4
6,5,3,3,4
8,7,4,3,5
8,7,4,3,5
8,7,4,3,5
8,7,4,3,5
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
8,7,4,3,5
8,7,4,3,5
8,7,4,3,5
10,9,4,3,6
8,7,3,4,5
10,9,4,4,5
3,2,1,2,2
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
80,79,25,10,27
98,97,30,10,33
12,11,4,4,6
8,7,3,4,5
39,38,15,5,17
10,9,4,3,6
12,11,4,5,7
55,54,20,5,22
1,0,1,1,-1
6,5,3,3,4
1,0,1,1,-1
1,0,1,1,-1
12,11,4,4,6
24,23,8,5,11
44,43,18,5,21
1,0,1,1,-1
8,7,3,4,5
8,7,3,4,5
8,7,3,4,5
31,30,10,7,14
137,136,25,13,30
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
6,5,3,3,4
1,0,1,1,-1
6,5,3,3,4
1,0,1,1,-1
3,2,1,2,2
81,80,34,5,35
72,71,32,5,33
3,2,1,2,2
77,76,24,6,25
8,7,4,3,5
13,12,5,3,7
1,0,1,1,-1
1,0,1,1,-1
11,10,6,3,6
11,10,6,3,6
1,0,1,1,-1
1,0,1,1,-1
9,8,4,3,5
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
19,18,7,5,8
3,2,1,2,2
14,13,6,3,7
8,7,4,3,5
8,7,4,3,5
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
37,36,14,5,15
46,45,13,5,14
46,45,13,5,14
1,0,1,1,-1
3,2,1,2,2
14,13,5,4,8
3,2,1,2,2
1,0,1,1,-1
13,12,4,5,7
8,7,4,3,5
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
29,28,10,4,14
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
8,7,3,3,5
1,0,1,1,-1
1,0,1,1,-1
8,7,4,3,5
8,7,4,3,5
8,7,4,3,5
8,7,4,3,5
8,7,4,3,5
8,7,4,3,5
8,7,4,3,5
8,7,4,3,5
8,7,4,3,5
8,7,4,3,5
8,7,4,3,5
8,7,4,3,5
8,7,4,3,5
8,7,4,3,5
8,7,4,3,5
8,7,4,3,5
8,7,4,3,5
8,7,4,3,5
5,4,2,3,3
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
46,45,22,4,23
40,39,19,3,20
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
77,76,22,8,23
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
15,14,7,3,8
4,3,2,2,3
3,2,1,2,2
3,2,1,2,2
1,0,1,1,-1
8,7,3,3,4
8,7,3,3,4
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
